Initial,,,
5917222.666666666,,,
Second,Value,Gap,
0,5917222.666666666,19.811036266058892,
1,5861812.666666666,18.689102904162592,
2,5822221.333333334,17.88746353024773,
3,5799035.333333334,17.417996882911012,
4,5757464.666666666,16.57628026479867,
5,5733314.0,16.08728119161027,
6,5717365.333333333,15.764354983144324,
7,5717365.333333333,15.764354983144324,
8,5709974.666666667,15.6147098739585,
9,5705645.333333333,15.527050182541103,
10,5695220.666666667,15.315973096816847,
15,5653317.333333333,14.467520693977498,
20,5651970.666666667,14.440253589471341,
25,5651970.666666667,14.440253589471341,
30,5651970.666666667,14.440253589471341,
35,5651970.666666667,14.440253589471341,
40,5613524.666666667,13.661804752953287,
45,5613524.666666667,13.661804752953287,
50,5613524.666666667,13.661804752953287,
55,5578826.0,12.959231359221967,
60,5578826.0,12.959231359221967,
