Initial,,,
1313751049.3333335,,,
Second,Value,Gap,
0,1313751049.3333335,106.20244261643835,
1,236405833.99999997,-62.89444606395309,
2,300279538.6666667,-52.86902006873786,
3,357106662.6666667,-43.94960433802275,
4,342706948.0,-46.209740563035226,
5,388955535.6666666,-38.950700313920684,
6,368208776.3333333,-42.20704972127576,
7,397636835.6666667,-37.588109383169765,
8,375999265.0,-40.984277877966846,
9,396216669.00000006,-37.81101450338847,
10,365042968.3333333,-42.70394549371752,
15,383691338.3333333,-39.7769530115677,
20,361445148.3333334,-43.26864857994587,
25,384606370.3333333,-39.63333232059436,
30,360715978.3333334,-43.38309692627368,
35,383196898.00000006,-39.854558890180044,
40,360715978.3333334,-43.38309692627368,
45,383196898.00000006,-39.854558890180044,
50,360715978.3333334,-43.38309692627368,
55,383196898.00000006,-39.854558890180044,
60,360715978.3333334,-43.38309692627368,
