Initial,,,
999071363.6666667,,,
Second,Value,Gap,
0,999071363.6666667,64.26284701375819,
1,378247998.6666667,-37.81015511222998,
2,404395989.6666666,-33.511019333193516,
3,407840161.0,-32.94474408060278,
4,410857184.0,-32.44869864730444,
5,413529593.33333325,-32.00931305239722,
6,415310987.3333334,-31.71642421508801,
7,418962812.0,-31.116007529797184,
8,424879520.0,-30.143208852571412,
9,421650750.3333334,-30.674068726136237,
10,423394727.33333325,-30.38733182468495,
15,423874807.0,-30.308399272208742,
20,428421207.3333334,-29.56090045523053,
25,430311532.0,-29.25010172471002,
30,432655659.33333325,-28.864690788575377,
35,434092717.6666666,-28.628416082140152,
40,435207768.0,-28.445084491447005,
45,437007078.6666666,-28.14924987590547,
50,435515751.33333325,-28.394447248697453,
55,438079725.0,-27.972890161314556,
60,438092266.6666666,-27.970828116551903,
