Initial,,,
621341.3333333334,,,
Second,Value,Gap,
0,621341.3333333334,26.337164065401698,
1,570131.3333333333,15.924648714007228,
2,564352.6666666666,14.749673994670044,
3,562134.0,14.298553105658263,
4,562134.0,14.298553105658263,
5,562134.0,14.298553105658263,
6,562134.0,14.298553105658263,
7,562134.0,14.298553105658263,
8,562134.0,14.298553105658263,
9,561806.0,14.231860954999064,
10,560128.0,13.890673672053545,
15,560112.0,13.887420396411642,
20,560112.0,13.887420396411642,
25,560112.0,13.887420396411642,
30,560112.0,13.887420396411642,
35,560112.0,13.887420396411642,
40,559391.3333333333,13.740887439373829,
45,559391.3333333333,13.740887439373829,
50,559391.3333333333,13.740887439373829,
55,559391.3333333333,13.740887439373829,
60,551840.0,12.205476889543165,
