Initial,,,
1466895.3333333333,,,
Second,Value,Gap,
0,1466895.3333333333,25.670404207246158,
1,1349575.3333333333,15.619481359130582,
2,1349575.3333333333,15.619481359130582,
3,1349575.3333333333,15.619481359130582,
4,1343656.6666666667,15.112423210218395,
5,1333264.6666666667,14.222130078291894,
6,1331359.3333333333,14.058898247970731,
7,1331359.3333333333,14.058898247970731,
8,1325460.6666666667,13.55355351925085,
9,1325460.6666666667,13.55355351925085,
10,1324602.6666666667,13.48004779300056,
15,1324602.6666666667,13.48004779300056,
20,1324602.6666666667,13.48004779300056,
25,1324602.6666666667,13.48004779300056,
30,1315136.6666666667,12.669086015978227,
35,1311587.3333333333,12.365011045848838,
40,1311587.3333333333,12.365011045848838,
45,1311587.3333333333,12.365011045848838,
50,1311587.3333333333,12.365011045848838,
55,1311587.3333333333,12.365011045848838,
60,1311587.3333333333,12.365011045848838,
