Initial,,,
8490369.333333332,,,
Second,Value,Gap,
0,8490369.333333332,17.824231287000014,
1,8480933.333333332,17.693284162938028,
2,8477044.0,17.63931033774533,
3,8462895.333333332,17.44296366443969,
4,8456135.333333332,17.349152456442773,
5,8451860.0,17.289821955763852,
6,8436878.0,17.081910784431,
7,8424093.333333334,16.90449288149638,
8,8417292.0,16.81010807439729,
9,8415861.333333334,16.790254144184136,
10,8413426.0,16.756458055149338,
15,8338010.0,15.709880235282947,
20,8290357.333333334,15.048585231691947,
25,8247970.666666666,14.460368604034635,
30,8234103.333333334,14.26792610526304,
35,8162633.333333334,13.276108496455219,
40,8162633.333333334,13.276108496455219,
45,8143254.0,13.007173781932234,
50,8143254.0,13.007173781932234,
55,8143254.0,13.007173781932234,
60,8128949.333333332,12.808662234595914,
