Initial,,,
2147918.0,,,
Second,Value,Gap,
0,2147918.0,18.137817315001104,
1,2096048.0,15.284911112748922,
2,2070720.0,13.89184366932028,
3,2070605.3333333333,13.885536878409832,
4,2070605.3333333333,13.885536878409832,
5,2070605.3333333333,13.885536878409832,
6,2070605.3333333333,13.885536878409832,
7,2070605.3333333333,13.885536878409832,
8,2070605.3333333333,13.885536878409832,
9,2064622.0,13.556447062007116,
10,2064622.0,13.556447062007116,
15,2064622.0,13.556447062007116,
20,2064622.0,13.556447062007116,
25,2060168.0,13.311472236003041,
30,2057754.0,13.178699620382517,
35,2044396.6666666665,12.444031814093393,
40,2041049.3333333335,12.259924853852965,
45,2041049.3333333335,12.259924853852965,
50,2029117.3333333335,11.60365192527626,
55,2029117.3333333335,11.60365192527626,
60,2029117.3333333335,11.60365192527626,
