Initial,,,
483620.6666666666,,,
Second,Value,Gap,
0,483620.6666666666,24.575792389420936,
1,445377.3333333334,14.724696516182668,
2,444249.3333333334,14.43413512478513,
3,444249.3333333334,14.43413512478513,
4,442663.3333333334,14.025597565603864,
5,438122.6666666666,12.855967756615328,
6,436242.6666666666,12.371698770952788,
7,434552.0,11.936200137037822,
8,434552.0,11.936200137037822,
9,434538.0,11.932593878633945,
10,434538.0,11.932593878633945,
15,433276.6666666666,11.60768716910432,
20,433276.6666666666,11.60768716910432,
25,429554.0,10.648765886856214,
30,426868.0,9.956879453085143,
35,426868.0,9.956879453085143,
40,426108.0,9.761111139732215,
45,424342.0,9.306207401072598,
50,424342.0,9.306207401072598,
55,423473.33333333326,9.082447653441971,
60,423473.33333333326,9.082447653441971,
