Initial,,,
344597488.3333333,,,
Second,Value,Gap,
0,344597488.3333333,181.40671319743436,
1,188881912.33333334,54.245576162627394,
2,180632351.0,47.50878318319518,
3,156522119.33333334,27.81977999120915,
4,152180377.0,24.274207313118023,
5,151998964.0,24.126061032922543,
6,151561686.66666666,23.768969697973397,
7,151561686.66666666,23.768969697973397,
8,151489121.3333333,23.709711077011942,
9,151317100.66666666,23.569234805281635,
10,151317100.66666666,23.569234805281635,
15,143956206.0,17.558148699118583,
20,140742101.66666666,14.933432713254913,
25,139937660.3333333,14.276506301317383,
30,139559757.33333334,13.967901495020673,
35,138845771.0,13.384842842147183,
40,138336380.33333334,12.968862000460213,
45,137490314.0,12.27794359835035,
50,137490314.0,12.27794359835035,
55,137213219.33333334,12.051661335620167,
60,136860876.0,11.763929176485988,
