Initial,,,
518737629.3333334,,,
Second,Value,Gap,
0,518737629.3333334,83.09542896022961,
1,378791270.0,33.69947762643155,
2,362268024.3333333,27.86737565025208,
3,361717781.6666666,27.67316009427818,
4,348871472.3333333,23.13888229190375,
5,345930101.3333333,22.100685803886666,
6,341320429.3333333,20.47364002104908,
7,341077351.3333333,20.387842368894972,
8,341077351.3333333,20.387842368894972,
9,340856262.6666667,20.309806147937582,
10,340856262.6666667,20.309806147937582,
15,339873095.3333334,19.962784003298296,
20,338957628.6666667,19.63965772027243,
25,338957628.6666667,19.63965772027243,
30,338957628.6666667,19.63965772027243,
35,332522302.3333334,17.36822266549336,
40,330283813.3333334,16.578117840816397,
45,330283813.3333334,16.578117840816397,
50,330283813.3333334,16.578117840816397,
55,330283813.3333334,16.578117840816397,
60,330283813.3333334,16.578117840816397,
