Initial,,,
1278403647.6666667,,,
Second,Value,Gap,
0,1278403647.6666667,56.20480813506585,
1,391575413.0,-52.15442136001891,
2,403552279.0,-50.690999334429385,
3,411148932.0,-49.76278411343913,
4,414530335.66666675,-49.34961921677841,
5,417420433.33333325,-48.996485719125126,
6,418774008.3333334,-48.83109591946572,
7,416899503.0,-49.06013683817393,
8,422964634.0,-48.31905429675734,
9,414422073.6666667,-49.36284746825375,
10,424058102.3333334,-48.18544625244219,
15,416821558.6666666,-49.0696606530158,
20,421738757.66666675,-48.468840929324564,
25,425355496.0,-48.02692110340401,
30,427401678.6666666,-47.7769033790027,
35,429101024.6666666,-47.56926472248792,
40,430355054.66666675,-47.416038066804354,
45,431348645.0,-47.29463385486672,
50,432315877.6666666,-47.17645021748865,
55,433154467.0,-47.07398517355943,
60,430255983.6666666,-47.42814329395622,
