Initial,,,
1166797775.6666667,,,
Second,Value,Gap,
0,1166797775.6666667,83.0986331724793,
1,351161234.6666667,-44.89435664728636,
2,364807883.3333333,-42.752869261587456,
3,378852693.0,-40.54890083898314,
4,379953168.6666667,-40.376209739798355,
5,392483039.0,-38.40997173377293,
6,401782804.3333333,-36.95061488816596,
7,405560621.6666666,-36.35778448984487,
8,406397821.6666667,-36.22640767469416,
9,410146742.6666666,-35.63811180604684,
10,406155442.3333334,-36.264442821459184,
15,387792811.0,-39.14598130970533,
20,373639041.3333333,-41.36704817686151,
25,381690075.6666666,-40.10364725786698,
30,377996105.6666666,-40.68331999301057,
35,394287696.3333333,-38.12677759510633,
40,396144992.6666666,-37.835323131340935,
45,403457429.3333333,-36.687825949953194,
50,398441451.3333333,-37.47495353536401,
55,404133805.6666667,-36.58168623600593,
60,398874906.6666666,-37.4069339687092,
