Initial,,,
3832408.666666667,,,
Second,Value,Gap,
0,3832408.666666667,22.07572432260827,
1,3744866.0,19.287181823104625,
2,3695400.0,17.71151536773301,
3,3658754.0,16.54421109967923,
4,3645742.666666667,16.129754271292242,
5,3638755.3333333335,15.907183076009957,
6,3638006.0,15.88331416812927,
7,3574175.333333333,13.85008244753989,
8,3562240.0,13.469900011785807,
9,3562240.0,13.469900011785807,
10,3553994.0,13.207235846682618,
15,3540994.0,12.793140024909455,
20,3540994.0,12.793140024909455,
25,3540994.0,12.793140024909455,
30,3540994.0,12.793140024909455,
35,3516883.333333333,12.025130307460818,
40,3509548.6666666665,11.791495321248103,
45,3509548.6666666665,11.791495321248103,
50,3509548.6666666665,11.791495321248103,
55,3509548.6666666665,11.791495321248103,
60,3509548.6666666665,11.791495321248103,
