Initial,,,
813219249.0,,,
Second,Value,Gap,
0,813219249.0,136.15679267823012,
1,240769521.6666667,-30.081145913121844,
2,298395770.3333333,-13.346630496851697,
3,344681835.6666667,0.09472464600353003,
4,373999317.6666667,8.608446532242041,
5,373019476.6666667,8.323903208680573,
6,336854761.0,-2.178237844254771,
7,379958192.3333334,10.338888514502065,
8,375305536.3333334,8.987769096526833,
9,377355322.0,9.583021618295184,
10,365578096.0,6.16294527083201,
15,345821729.0,0.4257467583383301,
20,348722558.6666666,1.2681402838583322,
25,354016603.3333333,2.8055173323144222,
30,339214808.0,-1.4928862237966634,
35,357184324.6666666,3.725415516104724,
40,353729631.6666667,2.7221814933351407,
45,361861969.6666666,5.083791675849758,
50,367851438.3333333,6.823118077562551,
55,343761637.3333333,-0.17249859950508872,
60,357288267.0,3.755600104201573,
