Initial,,,
1789362755.3333335,,,
Second,Value,Gap,
0,1789362755.3333335,50.874248196082746,
1,379261972.6666667,-68.02165194011364,
2,398330949.3333333,-66.41380718651251,
3,403591399.0,-65.97026023871442,
4,408537750.6666666,-65.55319718830866,
5,415812054.3333334,-64.93984749519186,
6,419086880.3333334,-64.66372298703926,
7,420767320.3333334,-64.52203281220861,
8,425683321.0,-64.10752887637778,
9,425504134.3333334,-64.12263741350337,
10,425449578.6666666,-64.12723740038062,
15,426765867.3333334,-64.01625148519912,
20,427224988.3333334,-63.977539639040714,
25,429685178.0,-63.77010307243523,
30,428596747.3333334,-63.861876614752134,
35,430635068.0,-63.69001090599673,
40,429684027.6666666,-63.770200065443674,
45,430975253.0,-63.66132742302515,
50,431987879.6666666,-63.575945469823516,
55,433104884.0,-63.481762672891406,
60,433231939.0,-63.47104973749168,
