Initial,,,
580437444.0,,,
Second,Value,Gap,
0,580437444.0,1021.2874315651181,
1,-349576719.0,-775.311328437438,
2,-96105423.33333334,-285.6561881092422,
3,-98500506.99999999,-290.28300404046973,
4,-66220760.33333333,-227.92507967568784,
5,-77524026.33333333,-249.7606973334579,
6,-66229734.666666664,-227.94241626773123,
7,-41271480.66666667,-179.72813096740205,
8,-98111047.66666667,-289.53064758916474,
9,48762495.666666664,-5.800747198552769,
10,-77619159.33333333,-249.94447499689042,
15,-119516249.0,-330.8811556814503,
20,-118966748.66666669,-329.8196324737789,
25,-119495604.0,-330.84127372816846,
30,-119331217.33333334,-330.52371202508476,
35,-119467054.66666666,-330.7861222058517,
40,-119312610.33333331,-330.4877670745051,
45,-119323400.66666666,-330.5086118102714,
50,-119297040.66666669,-330.45768963596726,
55,-119379472.66666666,-330.6169315431085,
60,-119255634.0,-330.37770035306295,
