Initial,,,
24057258.0,,,
Second,Value,Gap,
5,24057258.0,343.30508154444755,
10,24047220.0,343.1201104887876,
15,24037026.0,342.932264808234,
20,24037026.0,342.932264808234,
25,24037026.0,342.932264808234,
30,24032994.0,342.85796681098145,
35,24007834.0,342.39434141145927,
40,23999264.0,342.2364213131323,
45,23980642.0,341.89327217998834,
50,23980642.0,341.89327217998834,
55,23958490.0,341.4850754450831,
60,23958490.0,341.4850754450831,
Initial,,,
24162878.0,,,
Second,Value,Gap,
0,24162878.0,14.774573202018226,
1,24121950.666666668,14.580166839678865,
2,24110669.333333332,14.526580084885698,
3,24085755.333333332,14.40823765412247,
4,24076361.333333332,14.363615803171626,
5,24065340.0,14.311264058091822,
6,24038844.666666664,14.18541023491815,
7,24030750.666666664,14.146963432534054,
8,23988846.0,13.947914700349129,
9,23979481.333333332,13.903432183827459,
10,23969122.0,13.854224963479345,
15,23953775.333333332,13.781327723475867,
20,23933246.0,13.683812623186276,
25,23921030.666666668,13.625789333499782,
30,23909120.0,13.569213221861997,
35,23884676.666666664,13.453106475349074,
40,23873293.333333332,13.399035216745304,
45,23873293.333333332,13.399035216745304,
50,23843590.0,13.25794327372385,
55,23832969.333333332,13.20749471027922,
60,23811139.333333336,13.103801394731306,
