Initial,,,
188710.66666666666,,,
Second,Value,Gap,
0,188710.66666666666,18870966.666666664,
1,151737.33333333334,15173633.333333334,
2,150533.33333333334,15053233.333333334,
3,150533.33333333334,15053233.333333334,
4,150142.66666666666,15014166.666666666,
5,149632.0,14963100.0,
6,149632.0,14963100.0,
7,149632.0,14963100.0,
8,149632.0,14963100.0,
9,149632.0,14963100.0,
10,149632.0,14963100.0,
15,146544.66666666666,14654366.666666666,
20,146544.66666666666,14654366.666666666,
25,146544.66666666666,14654366.666666666,
30,143882.0,14388100.0,
35,143882.0,14388100.0,
40,143882.0,14388100.0,
45,143712.6666666667,14371166.666666668,
50,143712.6666666667,14371166.666666668,
55,143448.0,14344700.0,
60,142452.6666666667,14245166.666666668,
