Initial,,,
896523.3333333333,,,
Second,Value,Gap,
0,896523.3333333333,27.44083478089465,
1,825395.3333333334,17.32998617353867,
2,825395.3333333334,17.32998617353867,
3,817668.6666666667,16.231640136729396,
4,817668.6666666667,16.231640136729396,
5,817668.6666666667,16.231640136729396,
6,813980.6666666667,15.707390760057361,
7,802870.6666666667,14.128103727837637,
8,802870.6666666667,14.128103727837637,
9,802870.6666666667,14.128103727837637,
10,799218.0,13.608876986191554,
15,797112.6666666665,13.309603752003119,
20,797112.6666666665,13.309603752003119,
25,795992.0,13.150300931651415,
30,793018.6666666667,12.727641455881855,
35,793018.6666666667,12.727641455881855,
40,789468.6666666667,12.223008785820632,
45,789468.6666666667,12.223008785820632,
50,789413.3333333334,12.215143149836582,
55,784801.3333333334,11.559547128900727,
60,784801.3333333334,11.559547128900727,
