Initial,,,
2905538.6666666665,,,
Second,Value,Gap,
0,2905538.6666666665,19.964338042110064,
1,2857538.666666667,17.982506482928873,
2,2840501.3333333335,17.279066381172825,
3,2811416.0,16.078186558062303,
4,2782335.333333333,14.877499413020011,
5,2782335.333333333,14.877499413020011,
6,2774570.6666666665,14.556910632884135,
7,2774570.6666666665,14.556910632884135,
8,2770828.6666666665,14.402410347582961,
9,2770828.6666666665,14.402410347582961,
10,2770828.6666666665,14.402410347582961,
15,2758545.3333333335,13.895254146500857,
20,2752269.3333333335,13.636129670137898,
25,2752269.3333333335,13.636129670137898,
30,2752269.3333333335,13.636129670137898,
35,2752269.3333333335,13.636129670137898,
40,2752269.3333333335,13.636129670137898,
45,2752269.3333333335,13.636129670137898,
50,2752269.3333333335,13.636129670137898,
55,2752269.3333333335,13.636129670137898,
60,2752269.3333333335,13.636129670137898,
