Initial,,,
2382675.0,,,
Second,Value,Gap,
0,2382675.0,238267400.0,
1,1492476.3333333335,149247533.33333334,
2,1436818.6666666667,143681766.6666667,
3,1311483.0,131148200.0,
4,1311483.0,131148200.0,
5,1311483.0,131148200.0,
6,1307396.3333333335,130739533.33333334,
7,1307396.3333333335,130739533.33333334,
8,1307396.3333333335,130739533.33333334,
9,1307396.3333333335,130739533.33333334,
10,1307396.3333333335,130739533.33333334,
15,1287508.6666666667,128750766.66666667,
20,1287508.6666666667,128750766.66666667,
25,1287508.6666666667,128750766.66666667,
30,1287508.6666666667,128750766.66666667,
35,1269007.0,126900600.0,
40,1263826.6666666667,126382566.66666667,
45,1263826.6666666667,126382566.66666667,
50,1253224.0,125322300.0,
55,1236559.0,123655800.0,
60,1236559.0,123655800.0,
